stname,st,stusps,plot
Alabama,1, AL,73
Alaska,2, AK,1
Arizona,4, AZ,57
Arkansas,5, AR,60
California,6, CA,45
Colorado,8, CO,47
Connecticut,9, CT,43
Delaware,10, DE,54
District of Columbia,11, DC,64
Florida,12, FL,86
Georgia,13, GA,74
Hawaii,15, HI,78
Idaho,16, ID,24
Illinois,17, IL,28
Indiana,18, IN,39
Iowa,19, IA,38
Kansas,20, KS,59
Kentucky,21, KY,50
Louisiana,22, LA,71
Maine,23, ME,11
Maryland,24, MD,53
Massachusetts,25, MA,32
Michigan,26, MI,29
Minnesota,27, MN,27
Mississippi,28, MS,72
Missouri,29, MO,49
Montana,30, MT,25
Nebraska,31, NE,48
Nevada,32, NV,35
New Hampshire,33, NH,22
New Jersey,34, NJ,42
New Mexico,35, NM,58
New York,36, NY,31
North Carolina,37, NC,62
North Dakota,38, ND,26
Ohio,39, OH,40
Oklahoma,40, OK,70
Oregon,41, OR,34
Pennsylvania,42, PA,41
Rhode Island,44, RI,44
South Carolina,45, SC,63
South Dakota,46, SD,37
Tennessee,47, TN,61
Texas,48, TX,81
Utah,49, UT,46
Vermont,50, VT,21
Virginia,51, VA,52
Washington,53, WA,23
West Virginia,54, WV,51
Wisconsin,55, WI,17
Wyoming,56, WY,36
